row	packet_index	time_display	event_family	channel	tlp_type_hex	link_width
345	126026	8.832 sec	TLP	Upstream	0x12	1
346	126028	8.832 sec	TLP	Downstream	0x3	1
347	126030	8.832 sec	TLP	Downstream	0x1	1
348	126034	8.832 sec	TLP	Upstream	0x12	1
349	126036	8.832 sec	TLP	Downstream	0x3	1
350	126038	8.832 sec	TLP	Downstream	0x3	1
351	126042	8.832 sec	TLP	Downstream	0x1	1
352	126045	8.832 sec	TLP	Upstream	0x12	1
353	126047	8.832 sec	TLP	Downstream	0x3	1
354	126049	8.832 sec	TLP	Downstream	0x1	1
355	126053	8.832 sec	TLP	Upstream	0x12	1
356	126055	8.832 sec	TLP	Downstream	0x3	1
357	126057	8.832 sec	TLP	Downstream	0x3	1
358	126060	8.832 sec	TLP	Downstream	0x1	1
359	126064	8.832 sec	TLP	Upstream	0x12	1
360	126066	8.832 sec	TLP	Downstream	0x3	1
361	126069	8.832 sec	TLP	Downstream	0x3	1
362	126071	8.832 sec	TLP	Downstream	0x1	1
363	126075	8.832 sec	TLP	Upstream	0x12	1
364	126077	8.832 sec	TLP	Downstream	0x3	1
365	126079	8.832 sec	TLP	Downstream	0x1	1
366	126083	8.832 sec	TLP	Upstream	0x12	1
367	126085	8.832 sec	TLP	Downstream	0x3	1
368	126087	8.832 sec	TLP	Downstream	0x3	1
369	126090	8.832 sec	TLP	Downstream	0x1	1
370	126094	8.832 sec	TLP	Upstream	0x12	1
371	126096	8.832 sec	TLP	Downstream	0x3	1
372	126098	8.832 sec	TLP	Downstream	0x1	1
373	126102	8.832 sec	TLP	Upstream	0x12	1
374	126104	8.832 sec	TLP	Downstream	0x3	1
375	126106	8.832 sec	TLP	Downstream	0x3	1
376	128398	8.848 sec	TLP	Downstream	0x3	1
377	128401	8.848 sec	TLP	Downstream	0x1	1
378	128404	8.848 sec	TLP	Upstream	0x12	1
379	128406	8.848 sec	TLP	Downstream	0x3	1
380	128410	8.848 sec	TLP	Downstream	0x3	1
381	128413	8.848 sec	TLP	Downstream	0x3	1
382	128416	8.848 sec	TLP	Downstream	0x3	1
383	130682	8.863 sec	TLP	Downstream	0x3	1
384	130685	8.863 sec	TLP	Downstream	0x1	1
385	130688	8.863 sec	TLP	Upstream	0x12	1
386	130690	8.863 sec	TLP	Downstream	0x3	1
387	130692	8.863 sec	TLP	Downstream	0x3	1
388	130695	8.863 sec	TLP	Downstream	0x3	1
389	132992	8.879 sec	TLP	Downstream	0x3	1
390	132995	8.879 sec	TLP	Downstream	0x1	1
391	132998	8.879 sec	TLP	Upstream	0x12	1
392	133000	8.879 sec	TLP	Downstream	0x3	1
393	133002	8.879 sec	TLP	Downstream	0x1	1
394	133006	8.879 sec	TLP	Upstream	0x12	1
395	133008	8.879 sec	TLP	Downstream	0x3	1
396	133010	8.879 sec	TLP	Downstream	0x3	1
