
------------------------------------------------------------------------------------
                                    lecroy-vse-toolkit-poc-20260912-30e3b5c6\g1b-tlp-rows-10k
------------------------------------------------------------------------------------


Running verification script...
...

Test Description : 
PCIe G1b TLP row export - cap 10000 or trace end - v2
PCIE_G1B_TLP_ROWS_V2 cap=10000 time=vendor_display_text
PCIE_G1B_TLP|8698| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8702| 8.314 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|8704| 8.314 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|8709| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8711| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8714| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8716| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8719| 8.314 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|8721| 8.314 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|8725| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8727| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8730| 8.314 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|8732| 8.314 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|8737| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8739| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8742| 8.314 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|8744| 8.314 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|8748| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8750| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8753| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8755| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8758| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8760| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8763| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8765| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|9915| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|9918| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|10354| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|10358| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|13807| 8.317 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|13810| 8.317 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|13815| 8.317 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|13822| 8.317 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|15518| 8.331 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|15523| 8.331 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|46820| 8.346 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|46824| 8.346 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|48563| 8.347 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|51957| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52245| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52514| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52525| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52532| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52535| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52540| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52545| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52550| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52555| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52560| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52565| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52570| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52575| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52580| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52585| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52590| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52593| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52598| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52601| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|52606| 8.350 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|54285| 8.351 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|54338| 8.353 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|54621| 8.353 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|54905| 8.353 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|54909| 8.353 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|54916| 8.353 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|54925| 8.353 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|54930| 8.353 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|54937| 8.353 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|54944| 8.353 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|54949| 8.353 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|54956| 8.353 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|56648| 8.354 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|56655| 8.354 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|56660| 8.354 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|56663| 8.354 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|56676| 8.354 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|56679| 8.354 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|56684| 8.354 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|56691| 8.354 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|57728| 8.361 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|57731| 8.361 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|57733| 8.361 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|57735| 8.361 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|57739| 8.361 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|57741| 8.361 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|59962| 8.376 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|59965| 8.376 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|59967| 8.376 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|59970| 8.376 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|59974| 8.376 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|59976| 8.376 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|59980| 8.376 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|59982| 8.376 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|59984| 8.376 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|59988| 8.376 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|59990| 8.376 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|59993| 8.376 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|59996| 8.376 sec|TLP|Upstream|0x12|1
