row	packet_index	time_display	event_family	channel	tlp_type_hex	link_width
429	2096671	5.895 sec	TLP	Downstream	0xA	1
430	2096673	5.895 sec	TLP	Upstream	0x11	1
431	2096798	5.896 sec	TLP	Downstream	0x9	1
432	2096800	5.896 sec	TLP	Upstream	0x12	1
433	2096806	5.896 sec	TLP	Downstream	0x9	1
434	2096808	5.896 sec	TLP	Upstream	0x12	1
435	2096811	5.896 sec	TLP	Downstream	0x9	1
436	2096813	5.896 sec	TLP	Upstream	0x12	1
437	2096816	5.896 sec	TLP	Downstream	0x9	1
438	2096818	5.896 sec	TLP	Upstream	0x12	1
439	2096821	5.896 sec	TLP	Downstream	0x9	1
440	2096823	5.896 sec	TLP	Upstream	0x12	1
441	2096827	5.896 sec	TLP	Downstream	0x9	1
442	2096829	5.896 sec	TLP	Upstream	0x12	1
443	2096832	5.896 sec	TLP	Downstream	0x9	1
444	2096834	5.896 sec	TLP	Upstream	0x12	1
445	2096839	5.896 sec	TLP	Downstream	0x9	1
446	2096841	5.896 sec	TLP	Upstream	0x12	1
447	2096844	5.896 sec	TLP	Downstream	0x9	1
448	2096846	5.896 sec	TLP	Upstream	0x12	1
449	2096850	5.896 sec	TLP	Downstream	0x9	1
450	2096852	5.896 sec	TLP	Upstream	0x12	1
451	2096855	5.896 sec	TLP	Downstream	0x9	1
452	2096857	5.896 sec	TLP	Upstream	0x12	1
453	2096860	5.896 sec	TLP	Downstream	0x9	1
454	2096862	5.896 sec	TLP	Upstream	0x12	1
455	2096865	5.896 sec	TLP	Downstream	0x9	1
456	2096867	5.896 sec	TLP	Upstream	0x12	1
457	2096870	5.896 sec	TLP	Downstream	0x9	1
458	2096872	5.896 sec	TLP	Upstream	0x12	1
459	2096875	5.896 sec	TLP	Downstream	0x9	1
460	2096877	5.896 sec	TLP	Upstream	0x12	1
461	2096880	5.896 sec	TLP	Downstream	0x9	1
462	2096882	5.896 sec	TLP	Upstream	0x12	1
463	2096888	5.896 sec	TLP	Downstream	0x9	1
464	2096890	5.896 sec	TLP	Upstream	0x12	1
465	2096893	5.896 sec	TLP	Downstream	0x9	1
466	2096895	5.896 sec	TLP	Upstream	0x12	1
467	2096998	5.897 sec	TLP	Downstream	0x9	1
468	2097000	5.897 sec	TLP	Upstream	0x12	1
469	2097003	5.897 sec	TLP	Downstream	0x9	1
470	2097005	5.897 sec	TLP	Upstream	0x12	1
471	2100777	5.923 sec	TLP	Downstream	0x9	1
472	2100779	5.923 sec	TLP	Upstream	0x12	1
473	2100782	5.923 sec	TLP	Downstream	0x9	1
474	2100784	5.923 sec	TLP	Upstream	0x12	1
475	2100787	5.923 sec	TLP	Downstream	0x9	1
476	2100789	5.923 sec	TLP	Upstream	0x12	1
477	2100792	5.923 sec	TLP	Downstream	0x9	1
478	2100794	5.923 sec	TLP	Upstream	0x12	1
