
------------------------------------------------------------------------------------
                                    lecroy-vse-toolkit-poc-20260912-30e3b5c6\g1b-tlp-rows-1k
------------------------------------------------------------------------------------


Running verification script...
...

Test Description : 
PCIe G1b TLP row export - cap 1000 or trace end - v2
PCIE_G1B_TLP_ROWS_V2 cap=1000 time=vendor_display_text
PCIE_G1B_TLP|2095625| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095628| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095632| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095635| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095637| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095641| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095643| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095646| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095648| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095651| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095653| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095656| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095658| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095661| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095663| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095667| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095671| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095674| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095676| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095679| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095681| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095684| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095686| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095689| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095691| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095694| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095696| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095700| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095702| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095707| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095709| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095712| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095714| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095717| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095719| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095722| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095724| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095727| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095729| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095732| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095734| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095737| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095740| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095743| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095745| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095748| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095750| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095753| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095755| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095758| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095760| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095763| 5.895 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|2095765| 5.895 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|2095770| 5.895 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|2095772| 5.895 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|2095775| 5.895 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|2095778| 5.895 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|2095781| 5.895 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|2095783| 5.895 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|2095786| 5.895 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|2095788| 5.895 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|2095791| 5.895 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|2095793| 5.895 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|2095796| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095798| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095801| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095803| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095806| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095808| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095811| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095814| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095817| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095821| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095824| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095826| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095829| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095831| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095834| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095836| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095839| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095841| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095844| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095846| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095849| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095851| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095854| 5.895 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|2095856| 5.895 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|2095859| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095862| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095865| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095867| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095870| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095874| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095877| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095879| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095882| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095884| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095887| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095889| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095892| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095894| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095897| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095899| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095902| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095905| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095908| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095910| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095913| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095915| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095918| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095920| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095923| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095925| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095928| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095930| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095933| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095935| 5.895 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095940| 5.895 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095942| 5.895 sec|TLP|Upstream|0x12|1
