row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
220	60084	8.377 sec	Downstream	0x3	0	0	NA	NA
221	60087	8.377 sec	Downstream	0x3	0	0	NA	NA
222	60089	8.377 sec	Downstream	0x1	0	0	NA	NA
223	60093	8.377 sec	Upstream	0x12	0	0	256	0
224	60095	8.377 sec	Downstream	0x3	0	0	NA	NA
225	60097	8.377 sec	Downstream	0x1	4	0	NA	NA
226	60101	8.377 sec	Upstream	0x12	4	0	256	0
227	60103	8.377 sec	Downstream	0x3	0	0	NA	NA
228	60105	8.377 sec	Downstream	0x3	0	0	NA	NA
229	60108	8.377 sec	Downstream	0x1	10	0	NA	NA
230	60112	8.377 sec	Upstream	0x12	10	0	256	0
231	60114	8.377 sec	Downstream	0x3	0	0	NA	NA
232	60116	8.377 sec	Downstream	0x1	1	0	NA	NA
233	60120	8.377 sec	Upstream	0x12	1	0	256	0
234	60122	8.377 sec	Downstream	0x3	0	0	NA	NA
235	60124	8.377 sec	Downstream	0x3	0	0	NA	NA
236	62370	8.392 sec	Downstream	0x3	0	0	NA	NA
237	62372	8.392 sec	Downstream	0x1	6	0	NA	NA
238	62376	8.392 sec	Upstream	0x12	6	0	256	0
239	62378	8.392 sec	Downstream	0x3	0	0	NA	NA
240	62380	8.392 sec	Downstream	0x3	0	0	NA	NA
241	62383	8.392 sec	Downstream	0x3	0	0	NA	NA
242	62386	8.392 sec	Downstream	0x3	0	0	NA	NA
243	64716	8.408 sec	Downstream	0x3	0	0	NA	NA
244	64719	8.408 sec	Downstream	0x1	12	0	NA	NA
245	64722	8.408 sec	Upstream	0x12	12	0	256	0
246	64724	8.408 sec	Downstream	0x3	0	0	NA	NA
247	64726	8.408 sec	Downstream	0x3	0	0	NA	NA
248	64729	8.408 sec	Downstream	0x3	0	0	NA	NA
249	67003	8.424 sec	Downstream	0x3	0	0	NA	NA
250	67006	8.424 sec	Downstream	0x1	2	0	NA	NA
251	67009	8.424 sec	Upstream	0x12	2	0	256	0
252	67011	8.424 sec	Downstream	0x3	0	0	NA	NA
253	67013	8.424 sec	Downstream	0x1	8	0	NA	NA
254	67017	8.424 sec	Upstream	0x12	8	0	256	0
255	67019	8.424 sec	Downstream	0x3	0	0	NA	NA
256	67021	8.424 sec	Downstream	0x3	0	0	NA	NA
257	67024	8.424 sec	Downstream	0x1	14	0	NA	NA
258	67028	8.424 sec	Upstream	0x12	14	0	256	0
259	67030	8.424 sec	Downstream	0x3	0	0	NA	NA
260	67032	8.424 sec	Downstream	0x1	0	0	NA	NA
261	67036	8.424 sec	Upstream	0x12	0	0	256	0
262	67038	8.424 sec	Downstream	0x3	0	0	NA	NA
263	71571	8.455 sec	Downstream	0x3	0	0	NA	NA
264	71574	8.455 sec	Downstream	0x3	0	0	NA	NA
265	71576	8.455 sec	Downstream	0x1	5	0	NA	NA
266	71580	8.455 sec	Upstream	0x12	5	0	256	0
267	71582	8.455 sec	Downstream	0x3	0	0	NA	NA
268	71584	8.455 sec	Downstream	0x1	11	0	NA	NA
269	71588	8.455 sec	Upstream	0x12	11	0	256	0
270	76092	8.487 sec	Downstream	0x3	0	0	NA	NA
271	78412	8.503 sec	Downstream	0x1	1	0	NA	NA
272	78415	8.503 sec	Upstream	0x12	1	0	256	0
273	82798	8.533 sec	Downstream	0x1	7	0	NA	NA
274	82801	8.533 sec	Upstream	0x12	7	0	256	0
275	84997	8.548 sec	Downstream	0x1	13	0	NA	NA
276	85000	8.548 sec	Upstream	0x12	13	0	256	0
277	87279	8.564 sec	Downstream	0x1	3	0	NA	NA
278	87282	8.564 sec	Upstream	0x12	3	0	256	0
279	89556	8.580 sec	Downstream	0x1	9	0	NA	NA
280	89559	8.580 sec	Upstream	0x12	9	0	256	0
281	91886	8.596 sec	Downstream	0x1	15	0	NA	NA
282	91889	8.596 sec	Upstream	0x12	15	0	256	0
283	91893	8.596 sec	Downstream	0x3	0	0	NA	NA
