row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
185	2095536	5.894 sec	Downstream	0x9	15	0	NA	NA
186	2095538	5.894 sec	Upstream	0x12	15	0	256	0
187	2095541	5.894 sec	Downstream	0x9	0	0	NA	NA
188	2095543	5.894 sec	Upstream	0x12	0	0	256	0
189	2095546	5.894 sec	Downstream	0x9	4	0	NA	NA
190	2095548	5.894 sec	Upstream	0x12	4	0	256	0
191	2095551	5.894 sec	Downstream	0x9	10	0	NA	NA
192	2095553	5.894 sec	Upstream	0x12	10	0	256	0
193	2095556	5.894 sec	Downstream	0x9	1	0	NA	NA
194	2095558	5.894 sec	Upstream	0x12	1	0	256	0
195	2095563	5.894 sec	Downstream	0x9	6	0	NA	NA
196	2095565	5.894 sec	Upstream	0x12	6	0	256	0
197	2095568	5.894 sec	Downstream	0x9	12	0	NA	NA
198	2095570	5.894 sec	Upstream	0x12	12	0	256	0
199	2095573	5.894 sec	Downstream	0x9	2	0	NA	NA
200	2095575	5.894 sec	Upstream	0x12	2	0	256	0
201	2095578	5.894 sec	Downstream	0x9	8	0	NA	NA
202	2095580	5.894 sec	Upstream	0x12	8	0	256	0
203	2095583	5.894 sec	Downstream	0x9	14	0	NA	NA
204	2095585	5.894 sec	Upstream	0x12	14	0	256	0
205	2095589	5.894 sec	Downstream	0x9	0	0	NA	NA
206	2095591	5.894 sec	Upstream	0x12	0	0	256	0
207	2095594	5.894 sec	Downstream	0x9	5	0	NA	NA
208	2095596	5.894 sec	Upstream	0x12	5	0	256	0
209	2095599	5.894 sec	Downstream	0x9	11	0	NA	NA
210	2095601	5.894 sec	Upstream	0x12	11	0	256	0
211	2095613	5.894 sec	Downstream	0x9	1	0	NA	NA
212	2095615	5.894 sec	Upstream	0x12	1	0	256	0
213	2095618	5.894 sec	Downstream	0x9	7	0	NA	NA
214	2095620	5.894 sec	Upstream	0x12	7	0	256	0
215	2095623	5.894 sec	Downstream	0x9	13	0	NA	NA
216	2095625	5.894 sec	Upstream	0x12	13	0	256	0
217	2095628	5.894 sec	Downstream	0x9	3	0	NA	NA
218	2095632	5.894 sec	Upstream	0x12	3	0	256	0
219	2095635	5.894 sec	Downstream	0x9	9	0	NA	NA
220	2095637	5.894 sec	Upstream	0x12	9	0	256	0
221	2095641	5.894 sec	Downstream	0x9	15	0	NA	NA
222	2095643	5.894 sec	Upstream	0x12	15	0	256	0
223	2095646	5.894 sec	Downstream	0x9	0	0	NA	NA
224	2095648	5.894 sec	Upstream	0x12	0	0	256	0
225	2095651	5.894 sec	Downstream	0x9	4	0	NA	NA
226	2095653	5.894 sec	Upstream	0x12	4	0	256	0
227	2095656	5.894 sec	Downstream	0x9	10	0	NA	NA
228	2095658	5.894 sec	Upstream	0x12	10	0	256	0
229	2095661	5.894 sec	Downstream	0x9	1	0	NA	NA
230	2095663	5.894 sec	Upstream	0x12	1	0	256	0
231	2095667	5.894 sec	Downstream	0x9	6	0	NA	NA
232	2095671	5.894 sec	Upstream	0x12	6	0	256	0
233	2095674	5.894 sec	Downstream	0x9	12	0	NA	NA
234	2095676	5.894 sec	Upstream	0x12	12	0	256	0
235	2095679	5.894 sec	Downstream	0x9	2	0	NA	NA
236	2095681	5.894 sec	Upstream	0x12	2	0	256	0
237	2095684	5.894 sec	Downstream	0x9	8	0	NA	NA
238	2095686	5.894 sec	Upstream	0x12	8	0	256	0
239	2095689	5.894 sec	Downstream	0x9	14	0	NA	NA
240	2095691	5.894 sec	Upstream	0x12	14	0	256	0
241	2095694	5.894 sec	Downstream	0x9	0	0	NA	NA
242	2095696	5.894 sec	Upstream	0x12	0	0	256	0
243	2095700	5.894 sec	Downstream	0x9	5	0	NA	NA
244	2095702	5.894 sec	Upstream	0x12	5	0	256	0
245	2095707	5.895 sec	Downstream	0x9	11	0	NA	NA
246	2095709	5.895 sec	Upstream	0x12	11	0	256	0
247	2095712	5.895 sec	Downstream	0x9	1	0	NA	NA
248	2095714	5.895 sec	Upstream	0x12	1	0	256	0
249	2095717	5.895 sec	Downstream	0x9	7	0	NA	NA
250	2095719	5.895 sec	Upstream	0x12	7	0	256	0
251	2095722	5.895 sec	Downstream	0x9	13	0	NA	NA
252	2095724	5.895 sec	Upstream	0x12	13	0	256	0
253	2095727	5.895 sec	Downstream	0x9	3	0	NA	NA
254	2095729	5.895 sec	Upstream	0x12	3	0	256	0
255	2095732	5.895 sec	Downstream	0x9	9	0	NA	NA
256	2095734	5.895 sec	Upstream	0x12	9	0	256	0
257	2095737	5.895 sec	Downstream	0x9	15	0	NA	NA
258	2095740	5.895 sec	Upstream	0x12	15	0	256	0
259	2095743	5.895 sec	Downstream	0x9	0	0	NA	NA
260	2095745	5.895 sec	Upstream	0x12	0	0	256	0
261	2095748	5.895 sec	Downstream	0x9	4	0	NA	NA
262	2095750	5.895 sec	Upstream	0x12	4	0	256	0
263	2095753	5.895 sec	Downstream	0x9	10	0	NA	NA
264	2095755	5.895 sec	Upstream	0x12	10	0	256	0
265	2095758	5.895 sec	Downstream	0x9	1	0	NA	NA
266	2095760	5.895 sec	Upstream	0x12	1	0	256	0
267	2095763	5.895 sec	Downstream	0xA	6	0	NA	NA
268	2095765	5.895 sec	Upstream	0x11	6	0	256	0
269	2095770	5.895 sec	Downstream	0xA	12	0	NA	NA
270	2095772	5.895 sec	Upstream	0x11	12	0	256	0
271	2095775	5.895 sec	Downstream	0xA	2	0	NA	NA
272	2095778	5.895 sec	Upstream	0x11	2	0	256	0
273	2095781	5.895 sec	Downstream	0xA	8	0	NA	NA
274	2095783	5.895 sec	Upstream	0x11	8	0	256	0
275	2095786	5.895 sec	Downstream	0xA	14	0	NA	NA
276	2095788	5.895 sec	Upstream	0x11	14	0	256	0
277	2095791	5.895 sec	Downstream	0xA	0	0	NA	NA
278	2095793	5.895 sec	Upstream	0x11	0	0	256	0
279	2095796	5.895 sec	Downstream	0x9	5	0	NA	NA
280	2095798	5.895 sec	Upstream	0x12	5	0	256	0
281	2095801	5.895 sec	Downstream	0x9	11	0	NA	NA
282	2095803	5.895 sec	Upstream	0x12	11	0	256	0
283	2095806	5.895 sec	Downstream	0x9	1	0	NA	NA
284	2095808	5.895 sec	Upstream	0x12	1	0	256	0
285	2095811	5.895 sec	Downstream	0x9	7	0	NA	NA
286	2095814	5.895 sec	Upstream	0x12	7	0	256	0
287	2095817	5.895 sec	Downstream	0x9	13	0	NA	NA
288	2095821	5.895 sec	Upstream	0x12	13	0	256	0
289	2095824	5.895 sec	Downstream	0x9	3	0	NA	NA
290	2095826	5.895 sec	Upstream	0x12	3	0	256	0
291	2095829	5.895 sec	Downstream	0x9	9	0	NA	NA
292	2095831	5.895 sec	Upstream	0x12	9	0	256	0
293	2095834	5.895 sec	Downstream	0x9	15	0	NA	NA
294	2095836	5.895 sec	Upstream	0x12	15	0	256	0
295	2095839	5.895 sec	Downstream	0x9	0	0	NA	NA
296	2095841	5.895 sec	Upstream	0x12	0	0	256	0
297	2095844	5.895 sec	Downstream	0x9	4	0	NA	NA
298	2095846	5.895 sec	Upstream	0x12	4	0	256	0
299	2095849	5.895 sec	Downstream	0x9	10	0	NA	NA
300	2095851	5.895 sec	Upstream	0x12	10	0	256	0
301	2095854	5.895 sec	Downstream	0xA	1	0	NA	NA
302	2095856	5.895 sec	Upstream	0x11	1	0	256	0
303	2095859	5.895 sec	Downstream	0x9	6	0	NA	NA
304	2095862	5.895 sec	Upstream	0x12	6	0	256	0
305	2095865	5.895 sec	Downstream	0x9	12	0	NA	NA
306	2095867	5.895 sec	Upstream	0x12	12	0	256	0
307	2095870	5.895 sec	Downstream	0x9	2	0	NA	NA
308	2095874	5.895 sec	Upstream	0x12	2	0	256	0
309	2095877	5.895 sec	Downstream	0x9	8	0	NA	NA
310	2095879	5.895 sec	Upstream	0x12	8	0	256	0
311	2095882	5.895 sec	Downstream	0x9	14	0	NA	NA
312	2095884	5.895 sec	Upstream	0x12	14	0	256	0
313	2095887	5.895 sec	Downstream	0x9	0	0	NA	NA
314	2095889	5.895 sec	Upstream	0x12	0	0	256	0
315	2095892	5.895 sec	Downstream	0x9	5	0	NA	NA
316	2095894	5.895 sec	Upstream	0x12	5	0	256	0
317	2095897	5.895 sec	Downstream	0x9	11	0	NA	NA
318	2095899	5.895 sec	Upstream	0x12	11	0	256	0
319	2095902	5.895 sec	Downstream	0x9	1	0	NA	NA
320	2095905	5.895 sec	Upstream	0x12	1	0	256	0
321	2095908	5.895 sec	Downstream	0x9	7	0	NA	NA
322	2095910	5.895 sec	Upstream	0x12	7	0	256	0
323	2095913	5.895 sec	Downstream	0x9	13	0	NA	NA
324	2095915	5.895 sec	Upstream	0x12	13	0	256	0
325	2095918	5.895 sec	Downstream	0x9	3	0	NA	NA
326	2095920	5.895 sec	Upstream	0x12	3	0	256	0
327	2095923	5.895 sec	Downstream	0x9	9	0	NA	NA
328	2095925	5.895 sec	Upstream	0x12	9	0	256	0
329	2095928	5.895 sec	Downstream	0x9	15	0	NA	NA
330	2095930	5.895 sec	Upstream	0x12	15	0	256	0
331	2095933	5.895 sec	Downstream	0x9	0	0	NA	NA
332	2095935	5.895 sec	Upstream	0x12	0	0	256	0
333	2095940	5.895 sec	Downstream	0x9	4	0	NA	NA
334	2095942	5.895 sec	Upstream	0x12	4	0	256	0
335	2095947	5.895 sec	Downstream	0x9	10	0	NA	NA
336	2095949	5.895 sec	Upstream	0x12	10	0	256	0
337	2095952	5.895 sec	Downstream	0xA	1	0	NA	NA
338	2095954	5.895 sec	Upstream	0x11	1	0	256	0
339	2095957	5.895 sec	Downstream	0x9	6	0	NA	NA
340	2095959	5.895 sec	Upstream	0x12	6	0	256	0
341	2095962	5.895 sec	Downstream	0x9	12	0	NA	NA
